recording_id,dataset_id,subject_id,label,target,valid_windows,rejected_windows,acc__rms__median,acc__rms__iqr,acc__std__median,acc__std__iqr,acc__mad__median,acc__mad__iqr,acc__jerk_rms__median,acc__jerk_rms__iqr,acc__zcr__median,acc__zcr__iqr,acc__log_power_3_12__median,acc__log_power_3_12__iqr,acc__dominant_hz__median,acc__dominant_hz__iqr,acc__peak_ratio__median,acc__peak_ratio__iqr,acc__spectral_entropy__median,acc__spectral_entropy__iqr,acc__tremor_total_ratio__median,acc__tremor_total_ratio__iqr,acc__ratio_3_6__median,acc__ratio_3_6__iqr,acc__ratio_6_9__median,acc__ratio_6_9__iqr,acc__ratio_9_12__median,acc__ratio_9_12__iqr,gyro__rms__median,gyro__rms__iqr,gyro__std__median,gyro__std__iqr,gyro__mad__median,gyro__mad__iqr,gyro__jerk_rms__median,gyro__jerk_rms__iqr,gyro__zcr__median,gyro__zcr__iqr,gyro__log_power_3_12__median,gyro__log_power_3_12__iqr,gyro__dominant_hz__median,gyro__dominant_hz__iqr,gyro__peak_ratio__median,gyro__peak_ratio__iqr,gyro__spectral_entropy__median,gyro__spectral_entropy__iqr,gyro__tremor_total_ratio__median,gyro__tremor_total_ratio__iqr,gyro__ratio_3_6__median,gyro__ratio_3_6__iqr,gyro__ratio_6_9__median,gyro__ratio_6_9__iqr,gyro__ratio_9_12__median,gyro__ratio_9_12__iqr
dataset_a:imu_20260721_203653,dataset_a,euno,non_tremor,0,19,0,0.008386865852557742,0.0024337026105013,0.0037155695649764018,0.0016876037958055046,0.0021669019132280836,0.0008588653927974897,0.15589052049185737,0.059158828223807414,0.30303030303030304,0.11616161616161619,-4.4443650263943875,0.3199908209012561,4.5,1.5,0.22845187275374865,0.09153559892168428,0.8141602063699388,0.08981863122399081,0.7457501623914964,0.08350541059664662,0.6067539483528864,0.1709890476775907,0.19104848413293962,0.11503765742194141,0.06764848915424772,0.0577315889153136,1.3415314487280197,0.44138653609295275,0.6455001853613354,0.29555517522039326,0.3660303437444426,0.14650112890828154,26.127862298692815,11.850470080210059,0.29292929292929293,0.07575757575757575,0.043172308040298896,0.2995295580982953,5.0,2.75,0.21079054210968254,0.08604004048274394,0.8547540680962163,0.09168452686042583,0.7509424405741473,0.12951123958702015,0.4735310247232468,0.23363629398635788,0.28965919480050145,0.18409579461581937,0.1332038526375444,0.10263193206495044
dataset_a:imu_20260721_203715,dataset_a,euno,non_tremor,0,19,0,0.007812972161732048,0.001002915897428661,0.003348104137995963,0.000556901975637215,0.0023109836371846978,0.0005244264964566906,0.16310541756047522,0.0329299328017465,0.31313131313131315,0.08080808080808083,-4.387831119922903,0.20585158465404696,5.0,1.25,0.2046395743566665,0.06523192731796856,0.8367384202674105,0.06222563784572821,0.7485136990132686,0.056746397278129246,0.5140324582270979,0.24245665281243878,0.2298946741512767,0.16342459177947063,0.09915115507024261,0.062445836081069184,1.3426858340281989,0.2513783870964077,0.6146558015054594,0.10429414392837033,0.4272965535200701,0.10590617881057579,34.63070716966281,9.172925162233824,0.3333333333333333,0.055555555555555525,0.09157364374120336,0.22379374447603298,5.5,1.25,0.17038981628454014,0.05018194342810087,0.8645308023676259,0.03567592040604173,0.742274741251748,0.09387633072425083,0.3451347439084554,0.25895493333909536,0.2624045856244362,0.16962031574384806,0.1902762930347204,0.09075486112861697
dataset_a:imu_20260721_203739,dataset_a,euno,non_tremor,0,19,0,0.006107803665356626,0.0013836702189404231,0.0025556276950487304,0.0005481835529703269,0.0016056722011242822,0.0003505387474965543,0.1343000470301905,0.027978736482924677,0.3434343434343434,0.05555555555555558,-4.695584523126363,0.2122449374936961,4.5,1.25,0.24322165290003372,0.05420340043587685,0.8106409823253935,0.07551086812564445,0.7295087875120119,0.08394389327606477,0.6281413609990301,0.11874781937849965,0.1719270217681169,0.06470098088427159,0.1229089997102361,0.05126579706078278,0.9700054288837258,0.19811129900134317,0.46531775285491556,0.12105357815193646,0.305433640788388,0.06523009425635878,22.010756360890305,5.449266315306218,0.30303030303030304,0.0757575757575758,-0.24171633516151855,0.2705172363849927,5.0,0.5,0.20059994243999224,0.07977804719484072,0.8462466058113758,0.06585880657451049,0.7219314341255589,0.10962793427998019,0.5732646958680165,0.2097802790001173,0.1988493077766456,0.14726492987260437,0.17597852402910144,0.08871858128835708
dataset_a:imu_20260721_203800,dataset_a,euno,non_tremor,0,19,0,0.005834058223898239,0.0021142390747436873,0.002529101971273443,0.0008111742815330595,0.0016833394970333093,0.0003701735466441745,0.12912359992184114,0.03914525396685861,0.31313131313131315,0.07070707070707072,-4.634457976662128,0.14899872913093581,5.0,0.5,0.21188688938566827,0.09212271253937188,0.7724969199258264,0.06707770026883586,0.7645352642158584,0.05873762152754669,0.6428637147383808,0.1193245565299842,0.19611655911358739,0.11386834716687322,0.05129094964724924,0.0244478457845856,0.8384806872495066,0.3886416047995158,0.4155002078287253,0.24095925836922172,0.2504088448883848,0.1028950095483307,17.330045385924514,8.658031676397435,0.23232323232323232,0.07070707070707072,-0.3100251192385518,0.27569298718761626,5.0,1.0,0.21165640482310227,0.08768353717397823,0.812161708436259,0.039426536547396474,0.7171442435389321,0.11760013819078641,0.5487470189188519,0.13466194145453958,0.2534073510114454,0.14906065453559136,0.07031505836406592,0.0555930041130506
dataset_a:imu_20260721_203825,dataset_a,euno,non_tremor,0,19,0,0.006800888478052633,0.0012566263956879757,0.0030691207867599647,0.0008832925065468747,0.0018755757897810955,0.0004982015480569806,0.1363839890754395,0.04123705639615617,0.29292929292929293,0.04545454545454547,-4.6061297206234855,0.4400958646156852,5.0,0.5,0.2617523045874082,0.13516550933421242,0.7892165126505117,0.11512276300714941,0.732743989950762,0.19788026749238397,0.6376089344841339,0.13920910287546373,0.21067940122751916,0.15012577290127382,0.04490797343671185,0.05227745607353313,1.0003400042870423,0.21058572540690945,0.500427664516377,0.18495110857530778,0.2556163645062464,0.10347188874800484,19.7599865228834,6.578030840874501,0.29292929292929293,0.0757575757575758,-0.23132465923252446,0.3953372921217839,5.0,1.25,0.21367818268290284,0.10650468882678427,0.8162867442736249,0.10385913340668651,0.7119962135724421,0.23134744189014478,0.5732368190770558,0.18665052836909013,0.3046995348254084,0.15775908364202626,0.0671549732710622,0.08281299680342871
dataset_a:imu_20260721_204013,dataset_a,euno,non_tremor,0,19,0,0.010509656875286292,0.003005499132863838,0.005179328174191668,0.0025634738684850895,0.0028752206078061088,0.0009903877263029172,0.22053313235183178,0.05110031635153331,0.26262626262626265,0.11111111111111116,-4.208233557624534,0.2709061255911216,4.5,1.25,0.19723542334346444,0.10694254073512865,0.7942534829344228,0.09415980652255174,0.7946412186650625,0.08236332531339285,0.5537834469227313,0.20423233986979328,0.2705729219334346,0.1903509368910406,0.051947710625450956,0.02709043432026427,1.6500047714040627,0.626741406792445,0.9095065003502733,0.3595131315021727,0.4490524379326894,0.14366122566366646,32.9548949606482,13.927737751033739,0.2727272727272727,0.101010101010101,0.1862792224267827,0.26830383133152236,6.5,2.0,0.1869867601001379,0.053983113896202806,0.8521684114825719,0.0762506604836084,0.7480478795705303,0.09444458740438155,0.3761377844439206,0.250414998077418,0.3774310140788613,0.2351657789288436,0.10527928470607854,0.08856228430857266
dataset_a:imu_20260721_220136,dataset_a,euno,non_tremor,0,19,0,0.010703292379421159,0.004868498580621442,0.00533598213696188,0.0024046623009845707,0.0028137675492048257,0.001632448948391419,0.20464814799066108,0.08531093896759051,0.23232323232323232,0.09595959595959591,-4.256949387454261,0.4220664721973346,4.5,1.75,0.20337234380522387,0.07119818532748615,0.8331459772573583,0.09625672647378203,0.6288945085100522,0.15962139855450286,0.5727536417537022,0.23969725302220724,0.2425011126158316,0.15834072517245745,0.06910077905581734,0.05257841305163635,1.8880179359205067,0.7003632111271592,1.0214786921492751,0.43824404238064885,0.5083709280588365,0.20462606267089822,38.55646289374599,18.719024103516155,0.20202020202020202,0.06060606060606061,0.1754620909448952,0.4393413855715179,4.5,0.75,0.17111265581833998,0.09234397457596394,0.8595259999878846,0.121730908441817,0.6592034799050651,0.2603567901653186,0.5283359993034117,0.28193044150815133,0.2640587402616315,0.18082794671714125,0.09320054374532974,0.1148413612177649
dataset_a:imu_20260721_220201,dataset_a,euno,non_tremor,0,19,0,0.009315189596660688,0.004766996987064812,0.004303775746050807,0.0029040251008472743,0.00227212009117282,0.0012294350593977793,0.15759647445246702,0.0689977758518096,0.23232323232323232,0.12121212121212122,-4.43308472433034,0.5699807557700884,4.0,1.5,0.1834913605198157,0.08251772234952051,0.857233278576091,0.07259329089839639,0.5368449275194799,0.1694658148543422,0.5409723805027419,0.1596696918497531,0.18863413888758565,0.15430166134326812,0.09290091419289237,0.07011035446775574,1.6862428575795996,0.8057802720474407,0.903693536849362,0.5756680147672738,0.4659133174664107,0.26324109703859433,33.380004214098136,14.49677921080761,0.23232323232323232,0.0757575757575758,0.17684338802096353,0.6402254470398396,4.5,1.25,0.18271823209214963,0.07521072383358626,0.882226901027598,0.05108877912753762,0.5518095927043982,0.2502931301754286,0.45261627822327727,0.2122660846392661,0.2543578282833147,0.14515739246742687,0.1246658894238577,0.08884888584089419
dataset_a:imu_20260721_220237,dataset_a,euno,non_tremor,0,19,0,0.006866886024499832,0.0012369487330387953,0.0028103923313547055,0.00046928190325697117,0.0017554572051787195,0.0003592457248819713,0.13009259600862313,0.019190776794358627,0.30303030303030304,0.07070707070707072,-4.577728616590439,0.1986182698565786,3.0,2.0,0.21467110997723077,0.05120699194237438,0.8047154109118916,0.06386602936947483,0.6119709965013733,0.10068692246084454,0.6646101742038103,0.09016424374686549,0.17640504339446356,0.08057919349805232,0.0644702832692141,0.033506541879077964,0.9637346956086176,0.20441519790436768,0.4738379155960976,0.08610188638426719,0.29432305853061985,0.07658782348796384,19.239703628747975,2.6576787465839544,0.2727272727272727,0.04545454545454544,-0.243453279914074,0.10896869531991776,4.5,1.5,0.19738627836133574,0.07974267296402754,0.8280308384835284,0.05891241635567357,0.6197440403378895,0.09932486560851272,0.6132183779138375,0.09248638534915021,0.17559849825187113,0.08402571557305172,0.07954362994501096,0.06292971853787666
dataset_a:imu_20260721_220259,dataset_a,euno,non_tremor,0,19,0,0.005661126930156021,0.0009743385469954957,0.0024270904195062225,0.0006801905170292707,0.0015647277363790347,0.00021501539588455977,0.11517237020652252,0.020738964151837264,0.32323232323232326,0.035353535353535304,-4.709855392941026,0.20597006607143875,3.5,2.5,0.21381781464260738,0.07524852000174365,0.8316259131392583,0.05076547570107226,0.6966193895635184,0.08578078065079953,0.5283179935055683,0.08255290697742779,0.2544952250230735,0.0818950260023642,0.08791759450171074,0.06246554041283158,0.7329809871425527,0.11948702049740345,0.3333163043506166,0.11545917710115738,0.21541712753896286,0.04671449120743357,15.39090885796604,3.4138357791713716,0.31313131313131315,0.030303030303030276,-0.49862572611135814,0.22724282116231165,5.5,2.5,0.20049533909094772,0.07215849496133342,0.8736514901646415,0.07200413469807754,0.65612820895852,0.14058609737590333,0.4127706700633086,0.10917262318071375,0.2403633679821043,0.1220897680093303,0.1683123514197189,0.1217733550126649
